"crashid","OnLocStreet","AtLocStreet"
"0070112204","CRD ST CHARLES RD","CST BULL RUN RD"
"0070151747","CRD ALFALFA DR","CRD OAKLAND GRAVEL RD"
"0070141254","CST BLACKFOOT RD","MO 740"
"0070115434","CST GREENSBORO DR","CST EDENTON"
"0070152003","CRD LAKE OF THE WOODS RD","CST WATERSEDGE RD"
"0070144750","CST GRAND AVE","CST THIRD AVE"
"0070144798","CST ROCK QUARRY","CST OLD NIFONG"
"0070148573","CST NINTH ST","PVT WOODSON"
"0070132293","CST OLD HWY 63","CST CHINABERRY"
"0070133080","CST ASH ST","CST FAIRVIEW RD"
"0070133109","CST NIFONG","CST BEARFIELD"
"0070140128","CST FORUM BLVD","CST KATY LN"
"0070140200","CST BOXWOOD CT","UNKNOWN"
"0070141258","CST MCBAINE AVE","CST UNITY DR"
"0070144782","CST FAIRVIEW RD","CST ASH ST"
"0070148579","PVT UNIVERSITY AVE","CST HITT"
"0070013757","CST WORLEY","CST FAIRVIEW"
"0070013778","CST KUNLUN","CST FAIRVIEW"
"0070018608","CST OAKFIELD","CST OAKMEADOWS"
"0070025033","CST JUNIPER DR","CST ROCK QUARRY RD"
"0070025045","CST ROGERS ST","CST EIGHTH ST"
"0070026249","CST TRIMBLE RD","CST BROADWAY BLUFFS DR"
"0070028944","MO 163","CRD BROWN SCHOOL RD"
"0070029312","CRD WAGON TRAIL RD","CRD PRATHERSVILLE"
"0070029780","CST BLUE RIDGE RD","CST SEA EAGLE DR"
"0070029827","CST VOLUNTEER DR","CST YOUNGER"
"0070035002","CST CREEKWOOD PKWY","CST PENN"
"0070036307","CST GODFREY","CST CHATHAM DR"
"0070036330","CST LASALLE PL","CST WORLEY ST"
"0070038879","CST AMAZON DR","MO 163"
"0070040516","CST MCKEE ST","CST ORCHARD"
"0070043105","CST GREEN MEADOWS RD","CST GRANDSTONE PKWY"
"0070043110","CST FAIRVIEW","CST BERNADETTE"
"0070045457","CST BEARFIELD","CST SILVER LEAF"
"0070046251","CST BULL RUN","CST PORTWAY"
"0070047838","CST JOANN","CST MILLS"
"0070050331","CST SYLVAN LN","CST WHITEGATE DR"
"0070056813","CST GARTH AVE","CST SEXTON AVE"
"0070058976","CST BERNADETTE","CST WORLEY"
"0070058977","CST APPLE TREE CT","UNKNOWN"
"0070062879","CST SOUTHAMPTON","CST EXECUTIVE"
"0070065128","CST GIBSON ST","UNKNOWN"
"0070071179","CST BERNADETTE","CST WORLEY"
"0070073566","CST BARBERRY AVE","CST MAYBERRY DR"
"0070082892","CST FORUM","CST MILLS"
"0070082906","CST HITT","ALY HITT ST"
"0070084296","CST RAINBOW TROUT","CST STEELHEAD"
"0070084315","CST DAKOTA ST","CST GRAND"
"0070092403","CST LIVE OAK LN","CST OAKLAND PARK DR"
"0070095173","CST WEST BLVD","CST ASH ST"
"0070095595","CST MCKEE ST","CST RIA ST"
"0070095662","CST DYSART ST","CST FOURTH"
"0070095931","CRD NORTH BROWN STATION RD","CST BROWN STATION RD E"
"0070105544","CST BRICKTON","RT WW"
"0070105555","CST ROCK QUARRY RD","CST ROLLING ROCK DR"
"0070110996","CRD CREASY SPRINGS RD","CRD PRAIRIE VIEW DR"
"0070115429","CST ASH ST","UNKNOWN"
"0070121288","CRD ST CHARLES RD","CST UPLAND CREEK"
"0070121751","CST TRAIL RIDGE DR","CST BELINDA CT"
"0070131175","PP SG7 PKLT","CST MEMORIAL STADIUM"
"0070132310","CST OLD HWY 63","CST WALNUT E"
"0070132317","CST WACO RD","DEAD END"
"0070132329","CST WILKES","CST EIGHTH"
"0070133089","CST LASALLE PL","CST ALLEN ST"
"0070133152","CST VANDIVER","MO 163"
"0070138711","CRD ANDREW SAPP RD","CRD NASHVILLE CHURCH RD"
"0070140175","CST FORUM BLVD","CST MILLS DR"
"0080012256","CST VAWTER SCHOOL RD","CST SPRING CREEK RD"
"0080012280","CST MOUNTAIN TOP CT","CST SNOW PEAK CT"
"0080012302","CST SMITH","CST SCOTT"
"0080012291","CST BERNADETTE","CST KEMPER"
"0080012599","CST NORTHLAND","CST BLUE RIDGE"
"0080012277","CST COUNTRY CLUB DR","PP COUNTRY CLUB DR"
"0080012600","CST VILLAGE CIR","CST BETHEL"
"0080012296","CST WILLIAM ST","CST WIDSOR ST"
"0080014522","CST MILLS DR","CST HIGH RIDGE DR"
"0080014526","CST OLD HWY 63","RT AC"
"0080014540","CST VANDIVER","CST WOODARD"
"0080019188","CST BUCKNER ST","CST ASH ST"
"0080019361","CST OLD HWY 63","CST WALNUT E"
"0080019363","CST LOCUST ST","CST LOCUST ST"
"0080019181","CRD ST CHARLES RD","CST GRACE LN N"
"0080020073","CRD DUSTY RHODES LN","RT PP"
"0080024249","CST EIGHTH ST","CST WILKES BLVD"
"0080019332","CST ST CHARLES","CST DORADO DR"
"0080027118","CST ALTON AVE","CST SEVENTH ST"
"0080023978","CST DERBY RIDGE DR","CST HIGH QUEST CIR"
"0080029604","CST NIFONG BLVD","CST WESTRAIL CT"
"0080029654","CST ALLEN ST","CST PENDLETON WALKWAY"
"0080030036","CST HITT","PVT VIRGINIA AVE GARAGE"
"0080024225","CST ROGERS","CST EIGHTH"
"0080027122","CST ASH ST","CST FAIRVIEW RD N"
"0080027137","CST VAWTER SCHOOL RD","CST FOX CREEK WAY"
"0080027096","CST NIFONG","CST PEACHTREE DR S"
"0080027110","CST BETHEL","CST BROOKLINE"
"0080024237","CST RICHMOND AVE","CST BURNAM RD"
"0080024240","CST NIFONG BLVD","CST WILLOW CREEK LN"
"0080024261","CST DILLON DR","CST ALPINE RIDGE DR"
"0080027795","CST GREEN MEADOWS RD","CST FORUM BLVD"
"0080032781","CST CLIFF","CST MCNAB"
"0080029631","CST DOVE","CST ANTELOPE"
"0080031079","CRD OLD PLANK RD","CRD WARREN SCHOOL RD"
"0080030032","CST HITT ST","PVT VIRGINIA AVE GARAGE"
"0080030035","CST ROLLINS ST","PVT MISSOURI"
"0080030052","CST FIFTH ST","CST ROLLINS ST"
"0080029605","CST BROWN STATION RD","CST PEABODY"
"0080030415","CRD HINTON RD","CST CABO LN"
"0080031468","CRD RANGELINE RD","CST COLUMBUS CT"
"0080037424","CST HANOVER","CST CHARLESTON DR"
"0080037404","CST NORTHLAND DR","UNKNOWN"
"0080037422","CST BLUE RIDGE","CST NORTHLAND"
"0080029621","CST ROGERS","CST TENTH"
"0080039553","CST ASH ST","CST ASH ST W"
"0080039561","CST BERNADETTE DR","CST KNIPP DR"
"0080030416","CST PINEHURST","CST FRIDERIKI"
"0080037388","CST TENTH ST","CST ROGERS ST"
"0080038168","CST ROCK QUARRY RD","CST ROLLING ROCK DR"
"0080039546","CST FAIRVIEW","CST BERNADETTE"
"0080039565","CST ROCK QUARRY RD","CST ROLLING ROCK"
"0080038203","CST TEXAS AVE","CST DORIS DR S"
